Instructor,Course,Semester,Course_Grade,Pre,Pre %,Post,Post %,% Change,%_Possible_Change,Normalized_Gain
H,Bio 1530,2015_Fall,78.00,14,33,14,33,0,67,0.00
H,Bio 1530,2015_Fall,77.00,16,38,15,36,-2,62,0.00
H,Bio 1530,2015_Fall,76.00,9,21,15,36,14,79,0.18
H,Bio 1530,2015_Fall,76.00,17,40,18,43,2,60,0.04
H,Bio 1530,2015_Fall,74.00,3,7,17,40,33,93,0.36
H,Bio 1530,2015_Fall,74.00,7,17,13,31,14,83,0.17
H,Bio 1530,2015_Fall,72.00,11,26,19,45,19,74,0.26
H,Bio 1530,2015_Fall,72.00,9,21,11,26,5,79,0.06
H,Bio 1530,2015_Fall,71.00,12,29,16,38,10,71,0.13
H,Bio 1530,2015_Fall,71.00,10,24,14,33,10,76,0.13
H,Bio 1530,2015_Fall,71.00,12,29,14,33,5,71,0.07
H,Bio 1530,2015_Fall,71.00,17,40,18,43,2,60,0.04
H,Bio 1530,2015_Fall,71.00,11,26,10,24,-2,74,0.00
H,Bio 1530,2015_Fall,69.00,10,24,16,38,14,76,0.19
H,Bio 1530,2015_Fall,69.00,17,40,21,50,10,60,0.16
H,Bio 1530,2015_Fall,69.00,8,19,12,29,10,81,0.12
H,Bio 1530,2015_Fall,68.00,9,21,12,29,7,79,0.09
H,Bio 1530,2015_Fall,68.00,14,33,14,33,0,67,0.00
H,Bio 1530,2015_Fall,67.00,9,21,16,38,17,79,0.21
H,Bio 1530,2015_Fall,66.00,12,29,17,40,12,71,0.17
H,Bio 1530,2015_Fall,65.00,6,14,11,26,12,86,0.14
H,Bio 1530,2015_Fall,64.00,14,33,13,31,-2,67,0.00
H,Bio 1530,2015_Fall,61.00,13,31,17,40,10,69,0.14
H,Bio 1530,2015_Fall,61.00,11,26,10,24,-2,74,0.00
H,Bio 1530,2015_Fall,59.00,10,24,12,29,5,76,0.06
H,Bio 1530,2015_Fall,58.00,8,19,14,33,14,81,0.18
H,Bio 1530,2015_Fall,57.00,11,26,9,21,-5,74,0.00
H,Bio 1530,2015_Fall,57.00,11,26,9,21,-5,74,0.00
H,Bio 1530,2015_Fall,55.00,9,21,5,12,-10,79,0.00
H,Bio 1530,2015_Fall,54.00,10,24,10,24,0,76,0.00
H,Bio 1530,2015_Fall,52.00,6,14,12,29,14,86,0.17
H,Bio 1530,2015_Fall,52.00,11,26,13,31,5,74,0.06
H,Bio 1530,2015_Fall,46.00,4,10,19,45,36,90,0.39
H,Bio 1530,2015_Fall,42.00,5,12,6,14,2,88,0.03
H,Bio 1530,2015_Spring,97.00,12,29,37,88,60,71,0.83
H,Bio 1530,2015_Spring,95.00,24,57,36,86,29,43,0.67
H,Bio 1530,2015_Spring,93.00,10,24,22,52,29,76,0.38
H,Bio 1530,2015_Spring,92.00,19,45,28,67,21,55,0.39
H,Bio 1530,2015_Spring,91.00,16,38,27,64,26,62,0.42
H,Bio 1530,2015_Spring,90.00,14,33,30,71,38,67,0.57
H,Bio 1530,2015_Spring,87.00,7,17,17,40,24,83,0.29
H,Bio 1530,2015_Spring,84.00,13,31,20,48,17,69,0.24
H,Bio 1530,2015_Spring,81.00,12,29,18,43,14,71,0.20
H,Bio 1530,2015_Spring,80.00,9,21,17,40,19,79,0.24
H,Bio 1530,2015_Spring,77.00,8,19,16,38,19,81,0.24
H,Bio 1530,2015_Spring,77.00,16,38,12,29,-10,62,0.00
H,Bio 1530,2015_Spring,75.00,9,21,17,40,19,79,0.24
H,Bio 1530,2015_Spring,73.00,9,21,15,36,14,79,0.18
H,Bio 1530,2015_Spring,72.00,10,24,11,26,2,76,0.03
H,Bio 1530,2015_Spring,71.00,14,33,6,14,-19,67,0.00
H,Bio 1530,2015_Spring,67.00,10,24,25,60,36,76,0.47
H,Bio 1530,2015_Spring,67.00,13,31,11,26,-5,69,0.00
H,Bio 1530,2015_Spring,66.00,5,12,11,26,14,88,0.16
H,Bio 1530,2015_Spring,66.00,7,17,10,24,7,83,0.09
H,Bio 1530,2015_Spring,65.00,13,31,12,29,-2,69,0.00
H,Bio 1530,2015_Spring,62.00,9,21,14,33,12,79,0.15
H,Bio 1530,2015_Spring,61.00,7,17,6,14,-2,83,0.00
H,Bio 1530,2015_Spring,59.00,7,17,10,24,7,83,0.09
